1,2,3,4,5,6,7,8
2,3,4,5,6,7,8,9
3,4,5,6,7,8,9,10
4,5,6,7,8,9,10,11
5,6,7,8,9,10,11,12
6,7,8,9,10,11,12,13
7,8,9,10,11,12,13,14
8,9,10,11,12,13,14,15
9,10,11,12,13,14,15,16
10,11,12,13,14,15,16,17
11,12,13,14,15,16,17,18
12,13,14,15,16,17,18,19
13,14,15,16,17,18,19,20
14,15,16,17,18,19,20,21
15,16,17,18,19,20,21,22
16,17,18,19,20,21,22,23
17,18,19,20,21,22,23,24
18,19,20,21,22,23,24,25
19,20,21,22,23,24,25,26
20,21,22,23,24,25,26,27
21,22,23,24,25,26,27,28
22,23,24,25,26,27,28,29
23,24,25,26,27,28,29,30
24,25,26,27,28,29,30,31
25,26,27,28,29,30,31,32
26,27,28,29,30,31,32,33
27,28,29,30,31,32,33,34
28,29,30,31,32,33,34,35
